,positive_prob,neutral_prob,negative_prob,topic_business,topic_cybersecurity,topic_ecommerce,topic_economics,topic_education,topic_engineering,topic_health,topic_investment,topic_literature,topic_other,topic_productivity,topic_realestate,topic_renewableenergy,topic_safety,topic_technology,topic_tennis,topic_weatherupdate,topic_environment,user_verified,followersCount,friendsCount,retweetCount,likeCount,survived,power_value
0,0.0043811486,0.15454143,0.8410774,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,339.0,214.0,0.0,1.0,1,15.0
1,0.024142398,0.43543866,0.5404189,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,False,3802.0,4933.0,0.0,0.0,1,0.0
2,0.008181518,0.1763401,0.81547844,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,False,1699.0,1433.0,4.0,9.0,1,175.0
3,0.030796893,0.4977102,0.47149292,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,False,343.0,246.0,0.0,6.0,1,90.0
4,0.1431143,0.5929527,0.263933,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,7110.0,6719.0,0.0,0.0,1,0.0
5,0.0015255495,0.03295806,0.9655164,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,False,9694.0,8633.0,1.0,2.0,1,40.0
6,0.0017908134,0.03191289,0.9662964,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,True,50515.0,8054.0,3.0,6.0,1,170.0
7,0.052167922,0.8164555,0.13137667,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,108.0,691.0,0.0,1.0,1,15.0
8,0.0035727986,0.31645674,0.67997044,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,11366.0,10977.0,0.0,2.0,1,30.0
9,0.016443482,0.86316496,0.12039151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,False,91.0,558.0,0.0,0.0,1,0.0
10,0.013263744,0.54492277,0.44181347,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,False,34567.0,4373.0,0.0,0.0,1,0.0
11,0.597251,0.35759658,0.04515238,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,False,15939.0,6436.0,0.0,0.0,1,0.0
12,0.025800696,0.75755453,0.21664478,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,False,85.0,1278.0,0.0,1.0,1,15.0
13,0.21235844,0.75905746,0.02858409,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,False,9839.0,2295.0,2.0,0.0,1,20.0
14,0.004737666,0.05505667,0.94020563,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,False,5.0,58.0,0.0,1.0,1,15.0
15,0.028898342,0.8812732,0.08982842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,False,91.0,558.0,0.0,0.0,1,0.0
16,0.113060355,0.5922403,0.2946994,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,862.0,3469.0,1.0,5.0,1,85.0
17,0.91275376,0.07980504,0.0074412506,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,False,87.0,207.0,0.0,2.0,1,30.0
18,0.0151766585,0.41904244,0.5657809,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,False,862.0,3469.0,2.0,5.0,1,95.0
19,0.029382471,0.8807568,0.089860715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,False,91.0,558.0,0.0,0.0,1,0.0
20,0.07231653,0.41180807,0.5158754,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,False,1235.0,322.0,5.0,19.0,1,335.0
21,0.028118692,0.8806148,0.09126649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,False,91.0,558.0,0.0,0.0,1,0.0
22,0.0033615562,0.27012527,0.72651315,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,48.0,405.0,5.0,14.0,1,260.0
23,0.29028234,0.62436634,0.085351236,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,False,197.0,707.0,0.0,0.0,1,0.0
24,0.8856893,0.105268605,0.00904212,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,False,275.0,36.0,0.0,0.0,1,0.0
25,0.6742951,0.29997578,0.025729043,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,275.0,36.0,0.0,0.0,1,0.0
26,0.022830006,0.30767816,0.6694918,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,False,205.0,172.0,0.0,0.0,1,0.0
27,0.037796825,0.35169366,0.6105095,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,8.0,10.0,0.0,3.0,1,45.0
28,0.010526117,0.82917905,0.16029483,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,1476.0,1166.0,0.0,0.0,1,0.0
29,0.0030188095,0.07260493,0.92437625,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,2.0,10.0,0.0,0.0,1,0.0
30,0.03175124,0.8895011,0.078747645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,False,91.0,558.0,0.0,1.0,1,15.0
31,0.0013007041,0.010175455,0.9885238,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,False,48.0,180.0,0.0,2.0,1,30.0
32,0.23076335,0.38793033,0.38130632,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,556.0,564.0,0.0,1.0,1,15.0
33,0.029830985,0.8886154,0.08155361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,False,91.0,558.0,0.0,0.0,1,0.0
34,0.009617405,0.60390335,0.38647917,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False,14.0,340.0,0.0,0.0,1,0.0
35,0.007184212,0.6769116,0.31590423,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,False,1830.0,4566.0,0.0,1.0,1,15.0
36,0.00659167,0.7851915,0.2082169,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,False,2072.0,4277.0,1.0,5.0,1,85.0
37,0.15179813,0.7090843,0.13911758,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,False,50.0,463.0,0.0,2.0,1,30.0
38,0.0116102155,0.33438963,0.65400016,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,False,4938.0,942.0,0.0,1.0,1,15.0
